Назва,Телефон,E-mail,Прізвище директора,Кількість учнів
"Галицький ліцей ""Академічний""",(03431)23024,Показати email,10 клас  Кримськотатарська мова,Фрейнак Людмила Василівна
23804735,"Україна, Івано-Франківська область, Галицький район, м.Галич, вул. Шевченка, 5",2621210100,6 клас  замовлення,https://school.isuo.org/school/view?id=10678
Блюдниківський ліцей,((034)31)31-684,Показати email,10 клас  Кримськотатарська мова,Чернега Леся Федорівна
Вікторівський ліцей,"0999481578, 0974069085",Показати email,10 клас  Кримськотатарська мова,Кашуба Іван Іванович
Дорогівський ліцей,2621282601,36-634,10 клас  замовлення,Побережна Анастасія Володимирівна
Залуквянський ліцей імені Іванни Блажкевич,(03431)30509,Показати email,10 клас  Кримськотатарська мова,Ленюк Микола Васильович
Комарівський ліцей ім. А. Могильницького,(03431)34214,Показати email,10 клас  Кримськотатарська мова,Москалик Володимир Степанович
Крилоський ліцей,(03431)31241,Показати email,10 клас  Кримськотатарська мова,Духович Ігор Васильович
Мединський ліцей,2621285501,,10 клас  замовлення,Ріжко Оксана Григорівна
Бринська гімназія,(03431)37752,Показати email,Не проводить відбір для 10 класу,Баран Оксана Ярославівна
Вікторівська гімназія імені Степана Пушика,34-313,Показати email,Не проводить відбір для 10 класу,Скоропач Надія Петрівна
Німшинська гімназія,(097)9814606,Показати email,Не проводить відбір для 10 класу,Кузів Руслан Ярославович
Козинська гімназія,2625881801,,Не проводить відбір для 10 класу,Легін Ірина Ігорівна
Колодіївська початкова школа,2621282602,0962941607,Не проводить відбір для 10 класу,
Сапогівська початкова школа,2621286501,(38)0952164128,Не проводить відбір для 10 класу,
Філія №1 Галицького ліцею імені Ярослава Осмомисла Галицької міської ради Івано-Франківської області,"Україна, Івано-Франківська область, Галицький район, м.Галич, вул. Львівська, 3",2621210100,Не проводить відбір для 6 класу,https://school.isuo.org/school/view?id=10679
"Філія №2 Галицького ліцею імені Ярослава Осмомисла
Галицької міської ради
Івано-Франківської області",2621281804,0983607340,Не проводить відбір для 10 класу,
Галицький МНВК,2621283301,,Не проводить відбір для 10 класу,
Закрита 5,2621281801,(03431)79236,Не проводить відбір для 10 класу,Павлик Ганна Іванівна
закрита 4,2621281502,(03431)35599,Не проводить відбір для 10 класу,Мислюк Світлана Зіновіївна
Закрита 5,2621281301,(03431)34255,Не проводить відбір для 10 класу,Збанська Галина Ярославівна
закрита 1,,,Не проводить відбір для 10 класу,
закрита 2,,,Не проводить відбір для 10 класу,
закрита 3,2621285101,(972)241,Не проводить відбір для 10 класу,Гушуляк Михайло Ярославович
